timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
1308673451,0.09194486,-0.15834752,0.3554734
1308685702,0.08154483,-0.16599663,0.37179625
1308697446,0.083030544,-0.15987734,0.37328017
1308723864,0.09194486,-0.15528789,0.3658607
1308748858,0.09194486,-0.16599661,0.36882848
1308761274,0.0874877,-0.16599661,0.37179625
1308772971,0.09194486,-0.1476388,0.37476408
1308785766,0.07708768,-0.14763881,0.37476408
1308796876,0.083030544,-0.16293699,0.37921575
1308811839,0.084516264,-0.14763881,0.361409
1308825332,0.0874877,-0.14610898,0.38069963
1308837019,0.0785734,-0.15987734,0.37624794
1308873674,0.083030544,-0.15375808,0.38218355
1308885727,0.07708768,-0.15834753,0.38366744
1308899890,0.09194486,-0.15834752,0.37476408
1308913172,0.0785734,-0.15375808,0.36882848
1308924881,0.0874877,-0.15528789,0.36882848
1308948850,0.0874877,-0.15222825,0.3658607
1308972789,0.0874877,-0.15528789,0.37476408
1308987974,0.100859165,-0.1476388,0.37773186
1309000391,0.08897342,-0.14304934,0.37328017
1309025671,0.07708768,-0.14151955,0.38069963
1309037637,0.07411624,-0.15222827,0.37476408
1309049296,0.09343058,-0.1476388,0.37773186
1309061016,0.07560195,-0.15681772,0.37921575
1309073689,0.084516264,-0.15834753,0.38069963
1309085654,0.0874877,-0.15987733,0.3658607
1309099922,0.0874877,-0.14610898,0.3658607
1309112072,0.086001985,-0.1568177,0.37921575
1309161649,0.08897342,-0.13998972,0.37921575
1309173756,0.083030544,-0.14304936,0.36882848
1309185728,0.09194486,-0.1476388,0.37773186
1309197643,0.08154483,-0.15834753,0.37179625
1309209586,0.08154483,-0.15222827,0.37179625
1309220902,0.08154483,-0.16140717,0.38069963
1309245009,0.07708768,-0.15834753,0.3955386
1309259725,0.083030544,-0.14763881,0.37773186
1309273236,0.07560195,-0.13998973,0.38218355
1309284863,0.07560195,-0.14304936,0.37624794
1309297462,0.07263052,-0.15375808,0.37921575
1309321521,0.07560195,-0.14916863,0.37921575
1309332856,0.083030544,-0.15375808,0.37921575
1309347984,0.100859165,-0.14151953,0.37476408
1309360323,0.084516264,-0.14763881,0.38366744
1309372973,0.07411624,-0.13234064,0.38663524
1309385335,0.084516264,-0.14763881,0.3599251
1309409271,0.07560195,-0.14763881,0.37328017
1309421012,0.07560195,-0.14763881,0.37624794
1309433531,0.06520193,-0.14763881,0.38663524
1309445252,0.0785734,-0.12928103,0.37921575
1309457807,0.08154483,-0.146109,0.38366744
1309468872,0.069659084,-0.14763881,0.36882848
1309481659,0.06668765,-0.14763881,0.38218355
1309493619,0.08154483,-0.15834753,0.37179625
1309517644,0.07263052,-0.13998973,0.37328017
1309529654,0.0785734,-0.13387045,0.37624794
1309541623,0.07560195,-0.13387045,0.37328017
1309553282,0.08303054,-0.12010211,0.38663524
1309588997,0.07411624,-0.14151955,0.3955386
1309612817,0.06668765,-0.14763881,0.37921575
1309625281,0.0785734,-0.14304936,0.37624794
1309637254,0.06668765,-0.14916863,0.38218355
1309649289,0.08897342,-0.14916861,0.3925708
1309660860,0.06520193,-0.14763881,0.38960302
1309684908,0.08154483,-0.14151955,0.37476408
1309697458,0.084516264,-0.1384599,0.38069963
1309721665,0.07411624,-0.146109,0.38960302
1309733661,0.071144804,-0.13540028,0.38663524
1309757632,0.07263052,-0.14763881,0.38663524
1309769640,0.084516264,-0.146109,0.38069963
1309793437,0.07263052,-0.15681772,0.37921575
1309819909,0.071144804,-0.1384599,0.38366744
1309832702,0.07708768,-0.13540028,0.38663524
1309844862,0.071144804,-0.146109,0.37179625
1309859851,0.06520193,-0.14763881,0.38069963
1309873231,0.06520193,-0.146109,0.38069963
1309885012,0.06223049,-0.14304936,0.3881191
1309908865,0.0785734,-0.12928103,0.3881191
1309921258,0.07411624,-0.14763881,0.38366744
1309932900,0.07411624,-0.15222827,0.37179625
1309945328,0.0785734,-0.1369301,0.36734456
1309993642,0.06520193,-0.14763881,0.3955386
1310004828,0.07560195,-0.15375808,0.38663524
1310019894,0.07560195,-0.1369301,0.37328017
1310033450,0.084516264,-0.1384599,0.38069963
1310044944,0.071144804,-0.14151955,0.37773186
1310073142,0.069659084,-0.13387045,0.38218355
1310084734,0.06668765,-0.14916863,0.37921575
1310097248,0.07708768,-0.1552879,0.3940547
1310108832,0.07263052,-0.13998973,0.37921575
1310121311,0.069659084,-0.13540028,0.37624794
1310133005,0.07708768,-0.1384599,0.38663524
1310156824,0.071144804,-0.14763881,0.38960302
1310181011,0.071144804,-0.15834753,0.38366744
1310193577,0.071144804,-0.16140717,0.38960302
1310220065,0.08154483,-0.15834753,0.37476408
1310232504,0.07560195,-0.15375808,0.36882848
1310245299,0.09194486,-0.16599661,0.38069963
1310273258,0.09194486,-0.1476388,0.38069963
1310284974,0.1038306,-0.16752642,0.37773186
1310297338,0.08154483,-0.16140717,0.37179625
1310308827,0.09491629,-0.16599661,0.36882848
1310321450,0.1038306,-0.16752642,0.3658607
1310333239,0.10828775,-0.17823513,0.361409
1310345458,0.10531632,-0.17364568,0.3599251
1310357264,0.12463066,-0.17823513,0.34657004
1310393268,0.1290878,-0.18588422,0.35398954
1310405014,0.114230625,-0.18741404,0.35250562
1310419983,0.13800211,-0.1935333,0.34805393
1310433680,0.14097355,-0.1935333,0.34657004
1310459731,0.13205925,-0.19047366,0.33915055
1310473141,0.14245927,-0.17517549,0.35844123
1310484919,0.14394498,-0.19200349,0.33618277
1310497283,0.14691642,-0.18588422,0.34211835
1310508838,0.14245927,-0.20577183,0.3257955
1310521241,0.1528593,-0.20271221,0.31985992
1310545327,0.14245927,-0.20271221,0.3228277
1310569567,0.16028789,-0.20118238,0.33173108
1310581613,0.14691642,-0.19965257,0.3257955
1310609291,0.15583074,-0.19047366,0.3257955
1310661219,0.17217363,-0.19965257,0.31392434
1310673237,0.16771647,-0.1935333,0.3272794
1310684984,0.16474505,-0.20577183,0.31985992
1310697287,0.1692022,-0.21036129,0.31985992
1310708856,0.16474505,-0.19047366,0.3228277
1310721250,0.17514507,-0.1843544,0.31540823
1310745311,0.17365934,-0.19200349,0.3213438
1310756844,0.18108794,-0.18741404,0.31540823
1310773229,0.16028789,-0.19200349,0.33173108
1310796859,0.17365934,-0.18741404,0.3243116
1310825543,0.1692022,-0.19047366,0.30650488
1310836892,0.17217363,-0.19965257,0.31540823
1310849277,0.1870308,-0.20730166,0.3243116
1310860892,0.1870308,-0.1935333,0.3272794
1310873446,0.19000225,-0.18588422,0.3287633
1310885664,0.1796022,-0.17517549,0.3228277
1310909684,0.18405937,-0.16752642,0.3213438
1310933643,0.18405937,-0.18741404,0.3243116
1310945696,0.1796022,-0.18588422,0.31540823
1310957696,0.17217363,-0.17364568,0.33321497
1310969447,0.18405937,-0.19200349,0.3272794
1310981739,0.19148797,-0.17211588,0.3272794
1310995990,0.18108794,-0.1843544,0.3272794
1311009447,0.1796022,-0.17517549,0.3228277
1311022352,0.17514507,-0.19047366,0.3346989
1311045725,0.17365934,-0.17211588,0.33173108
1311057658,0.18257366,-0.17517549,0.31985992
1311068823,0.17217363,-0.17517549,0.3287633
1311081491,0.1855451,-0.16905624,0.31392434
1311092832,0.17663078,-0.17823513,0.3272794
1311108983,0.1796022,-0.17364568,0.3228277
1311132849,0.17663078,-0.15834752,0.3243116
1311157010,0.17068791,-0.16752642,0.34063447
1311171956,0.17365934,-0.16140716,0.34063447
1311184808,0.17365934,-0.16599661,0.34063447
1311209661,0.1692022,-0.15987733,0.3346989
1311221680,0.14691642,-0.16140716,0.3554734
1311233746,0.15880217,-0.17517549,0.35844123
1311245034,0.1528593,-0.15375806,0.35844123
1311257838,0.15731645,-0.16140716,0.34063447
1311269652,0.14691642,-0.1568177,0.3628929
1311321222,0.14245927,-0.1568177,0.36734456
1311333287,0.13651639,-0.16599661,0.35398954
1311345288,0.12165922,-0.14916861,0.37328017
1311356853,0.13205925,-0.1568177,0.36882848
1311369453,0.11125919,-0.1568177,0.37328017
1311396992,0.12165922,-0.15375806,0.37328017
1311409269,0.11125919,-0.13998972,0.37328017
1311421612,0.10531632,-0.13998972,0.37921575
1311433590,0.10234488,-0.15375806,0.37624794
1311444767,0.10234488,-0.1476388,0.37328017
1311457556,0.114230625,-0.13540027,0.36882848
1311481342,0.10531632,-0.13387044,0.38663524
1311493656,0.09194486,-0.14610898,0.38960302
1311517581,0.083030544,-0.12928103,0.37624794
1311529659,0.084516264,-0.14151955,0.3955386
1311541306,0.086001985,-0.12928101,0.3955386
1311553446,0.07411624,-0.1384599,0.37921575
1311564865,0.06668765,-0.15681772,0.40147418
1311593751,0.06520193,-0.13234064,0.38663524
1311605441,0.03994472,-0.1384599,0.38366744
1311619843,0.059259053,-0.12316174,0.3985064
1311632070,0.04885903,-0.12928103,0.38663524
1311643913,0.053316183,-0.12928103,0.38663524
1311657249,0.057773337,-0.12469155,0.38663524
1311716863,0.045887593,-0.12928103,0.3881191
1311729269,0.04885903,-0.12469155,0.3999903
1311753302,0.050344747,-0.1384599,0.3955386
1311777646,0.050344747,-0.14151955,0.38960302
1311788982,0.056287616,-0.1277512,0.3881191
1311819918,0.07263051,-0.12010211,0.38218355
1311832667,0.060744774,-0.13234064,0.3955386
1311844915,0.060744774,-0.1384599,0.3999903
1311859966,0.060744774,-0.1384599,0.3955386
1311872957,0.060744774,-0.12163192,0.3955386
1311884858,0.050344747,-0.12469155,0.38366744
1311901219,0.06668765,-0.12928103,0.40889367
1311913224,0.060744774,-0.13234064,0.3940547
1311924997,0.0711448,-0.12469155,0.37773186
1311939878,0.06520193,-0.13540028,0.38069963
1311953272,0.059259053,-0.12928103,0.3985064
1312004874,0.06668765,-0.1384599,0.38960302
1312019924,0.057773337,-0.118572295,0.38366744
1312033337,0.07560195,-0.13387045,0.38663524
1312044926,0.0874877,-0.14610898,0.38366744
1312073246,0.0785734,-0.14916863,0.38663524
1312084858,0.084516264,-0.13540028,0.37773186
1312097162,0.10234488,-0.12928101,0.3925708
1312108783,0.0785734,-0.1369301,0.3881191
1312123903,0.084516264,-0.13540028,0.38069963
1312136871,0.08303054,-0.1277512,0.3881191
1312164039,0.0874877,-0.13845989,0.38366744
1312180215,0.10234488,-0.14304934,0.38218355
1312197139,0.10977347,-0.14916861,0.37921575
1312211730,0.099373445,-0.13998972,0.37624794
