timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,is_powering_off,warning
2535203298,23.993868,23.933897,0.062,0.0688321,0.0,47.063915,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2535707819,23.953474,23.944265,0.062,0.06954543,0.0,47.073803,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2536211271,23.953474,23.953032,0.062,0.07017584,0.0,47.083664,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2536715329,23.993868,23.964005,0.0744,0.070755035,0.0,47.09361,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2537219281,24.054459,23.976303,0.0744,0.070526645,0.0,47.103443,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2537723329,24.014065,23.98421,0.062,0.06918095,0.0,47.112988,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2538228878,23.993868,23.989391,0.0744,0.06944359,0.0,47.122757,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2538733576,24.014065,24.003042,0.0744,0.07108335,0.0,47.132904,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2539224814,23.953474,23.997889,0.0744,0.07086252,0.0,47.142555,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2539728834,23.993868,23.998291,0.062,0.06864975,0.0,47.1519,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2540232813,23.953474,23.989077,0.0744,0.06928203,0.0,47.161682,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2540736841,23.953474,23.97228,0.0744,0.0700071,0.0,47.171528,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2541240872,23.953474,23.964552,0.0744,0.07002401,0.0,47.181377,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2541744940,23.933277,23.957632,0.0744,0.07075282,0.0,47.191303,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2542250489,23.953474,23.952492,0.0744,0.070762895,0.0,47.201202,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2542754575,23.933277,23.95463,0.0744,0.07131875,0.0,47.21124,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2543246519,23.953474,23.946915,0.0744,0.07011985,0.0,47.2207,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2543750526,23.993868,23.946331,0.0744,0.07071161,0.0,47.23063,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
2544254528,23.892883,23.93403,0.0744,0.07070841,0.0,47.2405,1.0,1.0,0.0,6,0,0,0,0,0,1,1,0,0,0
