timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
2590498273,2590498075,0.059132103,0.011456802,-0.063430846,0.52200085,0.0,0.0,0.0,-1.0
2590542331,2590542075,0.05618929,0.005943686,-0.06360085,0.5219959,0.0,0.0,0.0,-1.0
2590582434,2590582104,0.052135296,0.003860724,-0.059533946,0.5219911,0.0,0.0,0.0,-1.0
2590626296,2590626082,0.06621703,0.008153524,-0.06361335,0.5219865,0.0,0.0,0.0,-1.0
2590666298,2590666074,0.07965677,-0.0039010886,-0.06177198,0.5219193,0.0,0.0,0.0,-1.0
2590710303,2590710108,0.082755856,-0.011431175,-0.055636622,0.52192354,0.0,0.0,0.0,-1.0
2590750289,2590750080,0.08260467,-0.010029988,-0.047058035,0.5219275,0.0,0.0,0.0,-1.0
2590794266,2590794082,0.07238848,-0.00964471,-0.034362983,0.5219311,0.0,0.0,0.0,-1.0
2590834264,2590834074,0.062454112,0.0031085508,-0.03462549,0.52193445,0.0,0.0,0.0,-1.0
2590878297,2590878106,0.03971914,0.008888217,-0.033455104,0.5219375,0.0,0.0,0.0,-1.0
2590918292,2590918093,0.034374878,0.0029734406,-0.032173645,0.5219403,0.0,0.0,0.0,-1.0
2590962320,2590962082,0.037909124,-0.0044987914,-0.034567483,0.52194273,0.0,0.0,0.0,-1.0
2591002315,2591002074,0.039811544,-0.015869554,-0.031142404,0.52322495,0.0,0.0,0.0,-1.0
2591046330,2591046121,0.046435907,-0.0063619157,-0.045713756,0.5232221,0.0,0.0,0.0,-1.0
2591086444,2591086087,0.05248543,-6.13092e-05,-0.04143574,0.5231409,0.0,0.0,0.0,-1.0
2591130304,2591130107,0.047222946,0.019289475,-0.039404683,0.5231439,0.0,0.0,0.0,-1.0
2591174214,2591174089,0.044311006,0.017205976,-0.031037671,0.523147,0.0,0.0,0.0,-1.0
2591214298,2591214074,0.04722169,0.010257512,-0.035421275,0.52315,0.0,0.0,0.0,-1.0
2591254273,2591254074,0.044992935,0.006209021,-0.039643586,0.523153,0.0,0.0,0.0,-1.0
2591298266,2591298079,0.057221174,-0.0053700944,-0.03025514,0.5231559,0.0,0.0,0.0,-1.0
2591338265,2591338074,0.063043796,0.0015420248,-0.026570382,0.5231587,0.0,0.0,0.0,-1.0
2591378217,2591378075,0.06191997,0.0023938017,-0.030555142,0.5219858,0.0,0.0,0.0,-1.0
2591418210,2591418074,0.057730068,-0.003313783,-0.040941413,0.52080804,0.0,0.0,0.0,-1.0
2591462396,2591462123,0.060330506,-0.002860984,-0.041665286,0.5196253,0.0,0.0,0.0,-1.0
2591506300,2591506081,0.056915447,0.007994168,-0.038505975,0.5196133,0.0,0.0,0.0,-1.0
2591546394,2591546135,0.05724307,0.004880219,-0.038936287,0.5196015,0.0,0.0,0.0,-1.0
2591590303,2591590074,0.059246793,-0.0010354756,-0.02893524,0.5195901,0.0,0.0,0.0,-1.0
2591630306,2591630123,0.06993305,0.011462463,-0.038391512,0.5195792,0.0,0.0,0.0,-1.0
2591674246,2591674074,0.066157766,0.027948923,-0.041671876,0.5125157,0.0,0.0,0.0,-1.0
2591714235,2591714076,0.054102886,0.018399673,-0.042050593,0.51056933,0.0,0.0,0.0,-1.0
2591758287,2591758074,0.047413517,0.015181305,-0.04370627,0.50932276,0.0,0.0,0.0,-1.0
2591798307,2591798123,0.048098117,0.0077315425,-0.043769162,0.5093597,0.0,0.0,0.0,-1.0
2591842323,2591842081,0.046613883,0.0034474027,-0.042282782,0.509395,0.0,0.0,0.0,-1.0
2591882326,2591882130,0.051939357,0.004405188,-0.042983588,0.5094284,0.0,0.0,0.0,-1.0
2591926410,2591926074,0.06636383,0.010341528,-0.04559843,0.5094598,0.0,0.0,0.0,-1.0
2591966335,2591966123,0.06174476,0.0049329624,-0.044793643,0.5235951,0.0,0.0,0.0,-1.0
2592010261,2592010074,0.058975883,0.007877069,-0.046214473,0.5319085,0.0,0.0,0.0,-1.0
2592054297,2592054074,0.06063108,0.0061528254,-0.048679866,0.5333038,0.0,0.0,0.0,-1.0
2592094321,2592094074,0.06461769,0.009718613,-0.05279617,0.53340995,0.0,0.0,0.0,-1.0
2592138287,2592138094,0.055075098,0.010747215,-0.05628234,0.5346863,0.0,0.0,0.0,-1.0
2592178283,2592178075,0.06010032,0.0073847873,-0.053992037,0.5373783,0.0,0.0,0.0,-1.0
2592218268,2592218130,0.06799636,0.0037049442,-0.054473065,0.5397418,0.0,0.0,0.0,-1.0
2592262450,2592262074,0.06853069,0.0002751003,-0.053745244,0.5409363,0.0,0.0,0.0,-1.0
2592302341,2592302081,0.059021056,-0.0013466347,-0.051234618,0.54085284,0.0,0.0,0.0,-1.0
2592346316,2592346083,0.05252095,-0.0034195227,-0.046141837,0.54077625,0.0,0.0,0.0,-1.0
2592390293,2592390082,0.05184943,0.0028922325,-0.046030108,0.54070646,0.0,0.0,0.0,-1.0
2592430287,2592430074,0.051709678,0.011852884,-0.03874536,0.54009706,0.0,0.0,0.0,-1.0
2592474243,2592474079,0.059964754,0.029131873,-0.030043518,0.54015684,0.0,0.0,0.0,-1.0
2592514277,2592514074,0.06102218,0.03615492,-0.027012296,0.5402102,0.0,0.0,0.0,-1.0
2592554262,2592554108,0.05977103,0.04399785,-0.026664544,0.5462394,0.0,0.0,0.0,-1.0
2592594264,2592594121,0.062803954,0.05059193,-0.028560827,0.55387026,0.0,0.0,0.0,-1.0
2592638261,2592638123,0.06585212,0.051394228,-0.031302694,0.5564611,0.0,0.0,0.0,-1.0
2592682307,2592682074,0.0714329,0.05404851,-0.035761017,0.55765307,0.0,0.0,0.0,-1.0
2592722318,2592722087,0.075737305,0.060784493,-0.03724373,0.55751866,0.0,0.0,0.0,-1.0
2592763814,2592763673,0.08384783,0.06531119,-0.037768442,0.56635875,0.0,0.0,0.0,-1.0
2592807849,2592807683,0.09023445,0.05736938,-0.03633446,0.5714432,0.0,0.0,0.0,-1.0
2592847849,2592847674,0.091185056,0.06505385,-0.033882495,0.5701127,0.0,0.0,0.0,-1.0
2592891822,2592891683,0.088041045,0.071524575,-0.03420747,0.57007116,0.0,0.0,0.0,-1.0
2592935856,2592935674,0.08412514,0.06399065,-0.03201829,0.57003355,0.0,0.0,0.0,-1.0
2592975849,2592975678,0.0820588,0.06387806,-0.03304236,0.56872,0.0,0.0,0.0,-1.0
2593015806,2593015674,0.07718709,0.06327338,-0.035739586,0.56869483,0.0,0.0,0.0,-1.0
2593059808,2593059674,0.07485729,0.063241206,-0.036714822,0.56867313,0.0,0.0,0.0,-1.0
2593099812,2593099675,0.075950235,0.06340539,-0.03938924,0.56865466,0.0,0.0,0.0,-1.0
2593139822,2593139674,0.07073319,0.060139626,-0.039303258,0.56863916,0.0,0.0,0.0,-1.0
2593183826,2593183682,0.07090938,0.05757059,-0.042361435,0.56745064,0.0,0.0,0.0,-1.0
2593227806,2593227674,0.07481532,0.05477356,-0.043119397,0.558685,0.0,0.0,0.0,-1.0
2593267813,2593267674,0.076099604,0.053326994,-0.046976168,0.55777764,0.0,0.0,0.0,-1.0
2593311814,2593311674,0.069335975,0.051137708,-0.0441003,0.5577705,0.0,0.0,0.0,-1.0
2593351822,2593351674,0.0766833,0.048869956,-0.04689405,0.55776197,0.0,0.0,0.0,-1.0
2593395812,2593395674,0.077347256,0.04279115,-0.04849269,0.5577524,0.0,0.0,0.0,-1.0
2593435812,2593435674,0.06697893,0.04261889,-0.051274225,0.557742,0.0,0.0,0.0,-1.0
