timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,vision_attitude_timestamp_rel,vision_position_timestamp_rel
2574042074,32767,32767,32767,32767,-51,32767,32767,32767
2574046080,32767,32767,32767,32767,32767,32767,32767,32767
2574050074,32767,32767,32767,32767,32767,32767,32767,32767
2574054074,32767,32767,32767,32767,-54,-54,32767,32767
2574058074,32767,32767,32767,32767,32767,32767,32767,32767
2574062088,32767,32767,32767,32767,32767,32767,32767,32767
2574066080,32767,32767,32767,32767,-51,-51,32767,32767
2574070074,32767,32767,32767,32767,32767,32767,32767,32767
2574074123,32767,32767,32767,32767,32767,32767,32767,32767
2574078074,32767,32767,32767,32767,32767,-54,32767,32767
2574082074,32767,32767,32767,32767,32767,32767,32767,32767
2574086080,32767,32767,32767,32767,32767,32767,32767,32767
2574090074,32767,32767,32767,32767,-51,-51,32767,32767
2574094076,32767,32767,32767,32767,32767,32767,32767,32767
2574098074,32767,32767,32767,32767,32767,32767,32767,32767
2574102074,32767,32767,32767,32767,-54,32767,32767,32767
2574106074,32767,32767,32767,32767,32767,32767,32767,32767
2574110074,32767,32767,32767,32767,32767,32767,32767,32767
2574114074,32767,32767,32767,32767,-49,-50,32767,32767
2574118074,32767,32767,32767,32767,32767,32767,32767,32767
2574122099,32767,32767,-41,32767,32767,32767,32767,32767
2574126074,32767,32767,32767,32767,32767,-53,32767,32767
2574130083,32767,32767,32767,32767,32767,32767,32767,32767
2574134074,32767,32767,32767,32767,32767,32767,32767,32767
2574142100,32767,32767,32767,32767,32767,32767,32767,32767
2574146086,32767,32767,32767,32767,32767,32767,32767,32767
2574150074,32767,32767,32767,32767,-52,-53,32767,32767
2574154076,32767,32767,32767,32767,32767,32767,32767,32767
2574158092,32767,32767,32767,32767,32767,32767,32767,32767
2574162074,32767,32767,32767,32767,-52,-52,32767,32767
2574166074,32767,32767,32767,32767,32767,32767,32767,32767
2574170074,32767,32767,32767,32767,32767,32767,32767,32767
2574174074,32767,32767,32767,32767,32767,32767,32767,32767
2574178092,32767,32767,32767,32767,32767,32767,32767,32767
2574182088,32767,32767,32767,32767,32767,32767,32767,32767
2574186074,32767,32767,32767,32767,-34,-40,32767,32767
2574190074,32767,32767,32767,32767,32767,32767,32767,32767
2574194073,32767,32767,32767,32767,32767,32767,32767,32767
2574198080,32767,32767,32767,32767,-43,-43,32767,32767
2574202074,32767,32767,32767,32767,32767,32767,32767,32767
2574206075,32767,32767,32767,32767,32767,32767,32767,32767
2574210074,32767,32767,32767,32767,-42,-43,32767,32767
2574214074,32767,32767,32767,32767,32767,32767,32767,32767
2574218112,32767,32767,32767,32767,32767,32767,32767,32767
2574222074,32767,32767,32767,32767,32767,32767,32767,32767
2574230074,32767,32767,32767,32767,32767,32767,32767,32767
2574234074,32767,32767,32767,32767,32767,32767,32767,32767
2574238074,32767,32767,32767,32767,-63,-63,32767,32767
2574242076,32767,32767,32767,32767,32767,32767,32767,32767
2574246074,32767,32767,32767,32767,32767,32767,32767,32767
2574250074,32767,32767,32767,32767,-58,-58,32767,32767
2574254074,32767,32767,32767,32767,32767,32767,32767,32767
2574258074,32767,32767,32767,32767,32767,32767,32767,32767
2574262089,32767,32767,32767,32767,-54,-54,32767,32767
2574266074,32767,32767,32767,32767,32767,32767,32767,32767
2574270095,32767,32767,32767,32767,32767,32767,32767,32767
2574274074,32767,32767,32767,32767,32767,-46,32767,32767
2574278074,32767,32767,32767,32767,32767,32767,32767,32767
2574282074,32767,32767,32767,32767,32767,32767,32767,32767
2574286074,32767,32767,32767,32767,-54,-54,32767,32767
2574294074,32767,32767,32767,32767,32767,32767,32767,32767
2574298074,32767,32767,32767,32767,32767,32767,32767,32767
2574302074,32767,32767,32767,32767,-52,-53,32767,32767
2574306074,32767,32767,32767,32767,32767,32767,32767,32767
2574310096,32767,32767,32767,32767,32767,32767,32767,32767
2574318074,32767,32767,32767,32767,32767,32767,32767,32767
2574322074,32767,32767,32767,32767,32767,32767,32767,32767
2574326076,32767,32767,-59,32767,32767,-51,32767,32767
2574330105,32767,32767,32767,32767,32767,32767,32767,32767
2574334074,32767,32767,32767,32767,32767,32767,32767,32767
2574338074,32767,32767,32767,32767,-49,32767,32767,32767
2574342074,32767,32767,32767,32767,32767,32767,32767,32767
2574346087,32767,32767,32767,32767,32767,32767,32767,32767
2574350074,32767,32767,32767,32767,-51,32767,32767,32767
2574354074,32767,32767,32767,32767,32767,32767,32767,32767
2574358074,32767,32767,32767,32767,32767,32767,32767,32767
2574362074,32767,32767,32767,32767,-51,-51,32767,32767
2574366094,32767,32767,32767,32767,32767,32767,32767,32767
2574370074,32767,32767,32767,32767,32767,32767,32767,32767
2574374074,32767,32767,32767,32767,32767,-54,32767,32767
2574382080,32767,32767,32767,32767,32767,32767,32767,32767
2574386117,32767,32767,32767,32767,32767,32767,32767,32767
2574390090,32767,32767,32767,32767,-50,-50,32767,32767
2574394074,32767,32767,32767,32767,32767,32767,32767,32767
2574398074,32767,32767,32767,32767,32767,32767,32767,32767
2574402081,32767,32767,32767,32767,-51,-51,32767,32767
2574406074,32767,32767,32767,32767,32767,32767,32767,32767
2574414085,32767,32767,32767,32767,-54,32767,32767,32767
2574418102,32767,32767,32767,32767,32767,32767,32767,32767
2574422080,32767,32767,32767,32767,32767,32767,32767,32767
2574426074,32767,32767,32767,32767,32767,-51,32767,32767
2574430087,32767,32767,32767,32767,32767,32767,32767,32767
2574434074,32767,32767,32767,32767,32767,32767,32767,32767
2574438122,32767,32767,32767,32767,-55,-55,32767,32767
2574442089,32767,32767,32767,32767,32767,32767,32767,32767
2574446074,32767,32767,32767,32767,32767,32767,32767,32767
2574450074,32767,32767,32767,32767,-49,-50,32767,32767
2574454074,32767,32767,32767,32767,32767,32767,32767,32767
2574458097,32767,32767,32767,32767,32767,32767,32767,32767
2574462074,32767,32767,32767,32767,-53,-54,32767,32767
2574466074,32767,32767,32767,32767,32767,32767,32767,32767
2574470115,32767,32767,32767,32767,32767,32767,32767,32767
2574474074,32767,32767,32767,32767,32767,32767,32767,32767
2574478098,32767,32767,32767,32767,32767,-65,32767,32767
2574482074,32767,32767,32767,32767,32767,32767,32767,32767
2574486080,32767,32767,32767,32767,32767,32767,32767,32767
2574490074,32767,32767,32767,32767,-59,-59,32767,32767
2574494077,32767,32767,32767,32767,32767,32767,32767,32767
2574502074,32767,32767,32767,32767,-64,-65,32767,32767
