timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
2509569274,-0.0351219,0.03756677,-0.0118689835,4000,0,-0.5156889,0.18882373,-9.307171,4000
2509573324,-0.033195663,0.05532297,-0.006716149,4050,0,-0.7319446,-0.5121673,-9.979081,4050
2509577274,-0.05787249,0.05871362,-0.012091442,3950,0,-0.53133565,-0.9468454,-9.912717,3950
2509581274,-0.07528745,0.04622312,0.003390366,4000,0,-0.39503762,-0.33923265,-10.033172,4000
2509585274,-0.022490932,0.04041618,0.013023054,4000,0,-0.09429108,0.1327279,-10.145117,4000
2509589274,-0.0130767645,0.034444284,0.005824,4000,0,-0.02110843,-0.011636008,-10.053784,4000
2509593278,-0.05251777,0.033929158,0.0073938896,4004,0,0.19343157,0.6450699,-9.726056,4004
2509597274,-0.023911867,0.029907117,0.014566917,3996,0,0.03163559,0.784313,-9.200527,3996
2509601274,0.011849372,0.065163925,0.0047655026,4000,0,-0.004277965,0.050734926,-10.109074,4000
2509605274,-0.017552666,0.06451163,0.0011615352,4000,0,0.3399026,-0.45655188,-10.428753,4000
2509609281,-0.043929942,0.05378713,0.003217906,4007,0,0.5879162,-0.6970147,-9.934934,4007
2509613310,-0.04047738,0.04132859,0.0051836884,4029,0,0.70236987,-0.53823555,-9.548695,4029
2509617274,-0.002893333,0.046584256,0.00041631094,3964,0,0.57634366,-0.85213745,-9.684304,3964
2509621274,-0.052675262,0.03565455,0.0040300894,4000,0,0.6216923,-0.712182,-9.854643,4000
2509625274,-0.06386287,0.01338714,0.014889431,4000,0,0.058278702,0.14035729,-9.248016,4000
2509629329,0.005104714,0.033507217,0.009605647,4055,0,-0.17965221,-0.020281883,-9.799583,4055
2509633274,-0.00076899584,0.021932816,0.0031713531,3945,0,-0.32973838,-0.6540173,-10.729852,3945
2509637274,-0.06312011,0.032786444,0.00035121795,4000,0,-0.17462179,-0.02756373,-9.622899,4000
2509641274,-0.012245281,0.021717908,0.005549564,4000,0,0.2718853,0.76442504,-9.126849,4000
2509645274,0.027372204,0.025199046,-0.010235256,4000,0,0.734669,0.12956633,-10.358622,4000
2509649280,-0.076792255,0.036980547,0.0028554124,4006,0,1.2975695,0.82064813,-9.467872,4006
2509653274,-0.0044355453,0.025615469,0.008621146,3994,0,2.1724598,0.77514565,-9.517755,3994
2509657274,0.01789682,-0.02104114,0.010590728,4000,0,1.5329432,-1.3457241,-10.913501,4000
