timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
2600201765,112.5681,49.77,99980.2,1.1879302
2600225757,113.24189,49.77,99972.21,1.1878352
2600238446,112.819115,49.77,99977.21,1.1878947
2600250798,112.39899,49.77,99982.21,1.1879541
2600274711,112.147964,49.77,99985.21,1.1879897
2600286631,112.737206,49.77,99978.21,1.1879065
2600297817,112.31444,49.77,99983.21,1.187966
2600321755,111.8943,49.77,99988.21,1.1880254
2600334147,111.8943,49.77,99988.21,1.1880254
2600345737,111.30507,49.77,99995.21,1.1881086
2600369780,111.80975,49.77,99989.21,1.1880373
2600384547,112.39899,49.77,99982.21,1.1879541
2600397070,112.31444,49.77,99983.21,1.187966
2600422010,112.48354,49.77,99981.21,1.1879421
2600433813,112.39899,49.77,99982.21,1.1879541
2600446187,112.31444,49.77,99983.21,1.187966
2600470041,112.48354,49.76,99981.22,1.1879423
2600481767,112.734566,49.76,99978.22,1.1879066
2600494215,112.5681,49.76,99980.21,1.1879303
2600517910,112.65265,49.76,99979.22,1.1879185
2600529750,111.64064,49.76,99991.22,1.1880611
2600541872,112.48354,49.76,99981.22,1.1879423
2600566172,112.5681,49.76,99980.21,1.1879303
2600577736,112.734566,49.76,99978.22,1.1879066
2600590149,112.39899,49.76,99982.22,1.1879542
2600614227,112.147964,49.77,99985.21,1.1879897
2600625788,112.31444,49.77,99983.21,1.187966
2600638156,111.7252,49.77,99990.21,1.1880491
2600662008,112.147964,49.76,99985.22,1.1879898
2600673766,112.5681,49.76,99980.21,1.1879303
2600686307,112.063416,49.76,99986.21,1.1880016
2600710234,112.31444,49.77,99983.21,1.187966
2600721739,112.39899,49.77,99982.21,1.1879541
2600734135,112.5681,49.77,99980.2,1.1879302
2600758130,111.80975,49.76,99989.22,1.1880373
2600769734,112.063416,49.76,99986.21,1.1880016
2600784517,111.97886,49.76,99987.22,1.1880136
2600808594,112.31444,49.77,99983.21,1.187966
2600821018,111.97886,49.77,99987.21,1.1880134
2600833653,112.23252,49.77,99984.21,1.1879778
2600857454,111.64329,49.77,99991.21,1.188061
2600870449,112.23252,49.77,99984.21,1.1879778
2600881809,111.389626,49.77,99994.21,1.1880966
2600905766,112.22988,49.76,99984.22,1.1879779
2600918677,111.80975,49.76,99989.22,1.1880373
2600930723,112.147964,49.76,99985.22,1.1879898
2600953835,112.39899,49.77,99982.21,1.1879541
2600966009,112.48354,49.77,99981.21,1.1879421
2600977745,112.48354,49.77,99981.21,1.1879421
2601001737,112.5681,49.77,99980.2,1.1879302
2601014108,112.23252,49.77,99984.21,1.1879778
2601025791,112.39899,49.77,99982.21,1.1879541
2601050730,111.97886,49.76,99987.22,1.1880136
2601062691,112.31444,49.76,99983.22,1.187966
2601074680,112.063416,49.76,99986.21,1.1880016
2601097925,112.063416,49.76,99986.21,1.1880016
2601110117,113.07278,49.76,99974.21,1.187859
2601121734,112.39899,49.76,99982.22,1.1879542
2601145737,111.22051,49.76,99996.22,1.1881205
2601158289,112.31444,49.76,99983.22,1.187966
2601169651,112.65265,49.76,99979.22,1.1879185
2601196641,112.734566,49.76,99978.22,1.1879066
2601209647,112.147964,49.76,99985.22,1.1879898
2601221805,111.80975,49.76,99989.22,1.1880373
2601245841,112.31444,49.76,99983.22,1.187966
2601257741,112.65265,49.76,99979.22,1.1879185
2601269756,111.97886,49.76,99987.22,1.1880136
2601294199,112.819115,49.77,99977.21,1.1878947
2601305854,112.23252,49.77,99984.21,1.1879778
2601317913,112.31444,49.77,99983.21,1.187966
2601341761,112.734566,49.76,99978.22,1.1879066
2601353733,112.734566,49.76,99978.22,1.1879066
2601366017,112.5681,49.76,99980.21,1.1879303
2601390145,113.07278,49.76,99974.21,1.187859
2601401743,111.97886,49.76,99987.22,1.1880136
2601414265,112.147964,49.76,99985.22,1.1879898
2601438178,112.22988,49.76,99984.22,1.1879779
2601449819,112.063416,49.76,99986.21,1.1880016
2601461735,112.734566,49.76,99978.22,1.1879066
2601485788,112.5681,49.76,99980.21,1.1879303
2601497756,112.48354,49.76,99981.22,1.1879423
2601509907,112.39899,49.76,99982.22,1.1879542
2601534144,111.8943,49.76,99988.22,1.1880255
